kernel = poly , degree = 1, gamma = 0.0, coef0 = 0.0, score :  0.810638167189
kernel = poly , degree = 2, gamma = 0.0, coef0 = 0.0, score :  0.80345187642
kernel = poly , degree = 3, gamma = 0.0, coef0 = 0.0, score :  0.768503163196
kernel = poly , degree = 4, gamma = 0.0, coef0 = 0.0, score :  0.763773723973
kernel = poly , degree = 5, gamma = 0.0, coef0 = 0.0, score :  0.763773723973
kernel = poly , degree = 1, gamma = 0.0, coef0 = 0.1, score :  0.810761009766
kernel = poly , degree = 2, gamma = 0.0, coef0 = 0.1, score :  0.812419384559
kernel = poly , degree = 3, gamma = 0.0, coef0 = 0.1, score :  0.78834223942
kernel = poly , degree = 4, gamma = 0.0, coef0 = 0.1, score :  0.767950371599
kernel = poly , degree = 5, gamma = 0.0, coef0 = 0.1, score :  0.763773723973
kernel = poly , degree = 1, gamma = 0.0, coef0 = 0.5, score :  0.810699588477
kernel = poly , degree = 2, gamma = 0.0, coef0 = 0.5, score :  0.819421411461
kernel = poly , degree = 3, gamma = 0.0, coef0 = 0.5, score :  0.821141207543
kernel = poly , degree = 4, gamma = 0.0, coef0 = 0.5, score :  0.820711258522
kernel = poly , degree = 5, gamma = 0.0, coef0 = 0.5, score :  0.818438670843
kernel = poly , degree = 1, gamma = 0.1, coef0 = 0.0, score :  0.811498065229
kernel = poly , degree = 2, gamma = 0.1, coef0 = 0.0, score :  0.815121921258
kernel = poly , degree = 3, gamma = 0.1, coef0 = 0.0, score :  0.785271174989
kernel = poly , degree = 4, gamma = 0.1, coef0 = 0.0, score :  0.76610773294
kernel = poly , degree = 5, gamma = 0.1, coef0 = 0.0, score :  0.763773723973
kernel = poly , degree = 1, gamma = 0.1, coef0 = 0.1, score :  0.811559486518
kernel = poly , degree = 2, gamma = 0.1, coef0 = 0.1, score :  0.818438670843
kernel = poly , degree = 3, gamma = 0.1, coef0 = 0.1, score :  0.807874209201
kernel = poly , degree = 4, gamma = 0.1, coef0 = 0.1, score :  0.78299858731
kernel = poly , degree = 5, gamma = 0.1, coef0 = 0.1, score :  0.767581843867
kernel = poly , degree = 1, gamma = 0.1, coef0 = 0.5, score :  0.811559486518
kernel = poly , degree = 2, gamma = 0.1, coef0 = 0.5, score :  0.82347521651
kernel = poly , degree = 3, gamma = 0.1, coef0 = 0.5, score :  0.82660770223
kernel = poly , degree = 4, gamma = 0.1, coef0 = 0.5, score :  0.825747804189
kernel = poly , degree = 5, gamma = 0.1, coef0 = 0.5, score :  0.824273693262
kernel = poly , degree = 1, gamma = 0.5, coef0 = 0.0, score :  0.814876236103
kernel = poly , degree = 2, gamma = 0.5, coef0 = 0.0, score :  0.841901603096
kernel = poly , degree = 3, gamma = 0.5, coef0 = 0.0, score :  0.84257723727
kernel = poly , degree = 4, gamma = 0.5, coef0 = 0.0, score :  0.84214728825
kernel = poly , degree = 5, gamma = 0.5, coef0 = 0.0, score :  0.839997543148
kernel = poly , degree = 1, gamma = 0.5, coef0 = 0.1, score :  0.814876236103
kernel = poly , degree = 2, gamma = 0.5, coef0 = 0.1, score :  0.841778760518
kernel = poly , degree = 3, gamma = 0.5, coef0 = 0.1, score :  0.843130028868
kernel = poly , degree = 4, gamma = 0.5, coef0 = 0.1, score :  0.844604139795
kernel = poly , degree = 5, gamma = 0.5, coef0 = 0.1, score :  0.843682820466
kernel = poly , degree = 1, gamma = 0.5, coef0 = 0.5, score :  0.814937657392
kernel = poly , degree = 2, gamma = 0.5, coef0 = 0.5, score :  0.843989926909
kernel = poly , degree = 3, gamma = 0.5, coef0 = 0.5, score :  0.847368097783
kernel = poly , degree = 4, gamma = 0.5, coef0 = 0.5, score :  0.848965051287
kernel = poly , degree = 5, gamma = 0.5, coef0 = 0.5, score :  0.848043731957
kernel = poly , degree = 1, gamma = 1.0, coef0 = 0.0, score :  0.814691972238
kernel = poly , degree = 2, gamma = 1.0, coef0 = 0.0, score :  0.846569621031
kernel = poly , degree = 3, gamma = 1.0, coef0 = 0.0, score :  0.849087893864
kernel = poly , degree = 4, gamma = 1.0, coef0 = 0.0, score :  0.84706099134
kernel = poly , degree = 5, gamma = 1.0, coef0 = 0.0, score :  0.843621399177
kernel = poly , degree = 1, gamma = 1.0, coef0 = 0.1, score :  0.814937657392
kernel = poly , degree = 2, gamma = 1.0, coef0 = 0.1, score :  0.847368097783
kernel = poly , degree = 3, gamma = 1.0, coef0 = 0.1, score :  0.848780787421
kernel = poly , degree = 4, gamma = 1.0, coef0 = 0.1, score :  0.847183833917
kernel = poly , degree = 5, gamma = 1.0, coef0 = 0.1, score :  0.844235612063
kernel = poly , degree = 1, gamma = 1.0, coef0 = 0.5, score :  0.814691972238
kernel = poly , degree = 2, gamma = 1.0, coef0 = 0.5, score :  0.846815306185
kernel = poly , degree = 3, gamma = 1.0, coef0 = 0.5, score :  0.848473680978
kernel = poly , degree = 4, gamma = 1.0, coef0 = 0.5, score :  0.848535102266
kernel = poly , degree = 5, gamma = 1.0, coef0 = 0.5, score :  0.844911246238
