C = 1, kernel = poly , gamma = 0.0, degree = 1 , train score :  0.809434599674, test score: 0.810761009766
C = 10, kernel = poly , gamma = 0.0, degree = 1 , train score :  0.809434599674, test score: 0.810761009766
C = 50, kernel = poly , gamma = 0.0, degree = 1 , train score :  0.809434599674, test score: 0.810761009766
C = 100, kernel = poly , gamma = 0.0, degree = 1 , train score :  0.809434599674, test score: 0.810761009766
C = 1000, kernel = poly , gamma = 0.0, degree = 1 , train score :  0.809434599674, test score: 0.810761009766
C = 1, kernel = poly , gamma = 0.1, degree = 1 , train score :  0.810540216824, test score: 0.811559486518
C = 10, kernel = poly , gamma = 0.1, degree = 1 , train score :  0.810540216824, test score: 0.811559486518
C = 50, kernel = poly , gamma = 0.1, degree = 1 , train score :  0.810540216824, test score: 0.811559486518
C = 100, kernel = poly , gamma = 0.1, degree = 1 , train score :  0.810540216824, test score: 0.811559486518
C = 1000, kernel = poly , gamma = 0.1, degree = 1 , train score :  0.810540216824, test score: 0.811559486518
C = 1, kernel = poly , gamma = 0.5, degree = 1 , train score :  0.815761186696, test score: 0.814814814815
C = 10, kernel = poly , gamma = 0.5, degree = 1 , train score :  0.815761186696, test score: 0.814814814815
C = 50, kernel = poly , gamma = 0.5, degree = 1 , train score :  0.815761186696, test score: 0.814814814815
C = 100, kernel = poly , gamma = 0.5, degree = 1 , train score :  0.815761186696, test score: 0.814814814815
C = 1000, kernel = poly , gamma = 0.5, degree = 1 , train score :  0.815761186696, test score: 0.814814814815
C = 1, kernel = poly , gamma = 1.0, degree = 1 , train score :  0.81668253432, test score: 0.814937657392
C = 10, kernel = poly , gamma = 1.0, degree = 1 , train score :  0.81668253432, test score: 0.814937657392
C = 50, kernel = poly , gamma = 1.0, degree = 1 , train score :  0.81668253432, test score: 0.814937657392
C = 100, kernel = poly , gamma = 1.0, degree = 1 , train score :  0.81668253432, test score: 0.814937657392
C = 1000, kernel = poly , gamma = 1.0, degree = 1 , train score :  0.81668253432, test score: 0.814937657392
