kernel = rbf , gamma = 0.0, score :  0.763773723973
kernel = rbf , gamma = 0.0, score :  0.763773723973
kernel = rbf , gamma = 0.0, score :  0.763773723973
kernel = rbf , gamma = 0.0, score :  0.763773723973
kernel = rbf , gamma = 0.0, score :  0.763773723973
kernel = rbf , gamma = 0.0, score :  0.763773723973
kernel = rbf , gamma = 0.0, score :  0.763773723973
kernel = rbf , gamma = 0.1, score :  0.808427000798
kernel = rbf , gamma = 0.1, score :  0.808427000798
kernel = rbf , gamma = 0.1, score :  0.808427000798
kernel = rbf , gamma = 0.1, score :  0.808427000798
kernel = rbf , gamma = 0.1, score :  0.808427000798
kernel = rbf , gamma = 0.1, score :  0.808427000798
kernel = rbf , gamma = 0.1, score :  0.808427000798
kernel = rbf , gamma = 0.5, score :  0.694613352988
kernel = rbf , gamma = 0.5, score :  0.694613352988
kernel = rbf , gamma = 0.5, score :  0.694613352988
kernel = rbf , gamma = 0.5, score :  0.694613352988
kernel = rbf , gamma = 0.5, score :  0.694613352988
kernel = rbf , gamma = 0.5, score :  0.694613352988
kernel = rbf , gamma = 0.5, score :  0.694613352988
kernel = rbf , gamma = 1.0, score :  0.584669246361
kernel = rbf , gamma = 1.0, score :  0.584669246361
kernel = rbf , gamma = 1.0, score :  0.584669246361
kernel = rbf , gamma = 1.0, score :  0.584669246361
kernel = rbf , gamma = 1.0, score :  0.584669246361
kernel = rbf , gamma = 1.0, score :  0.584669246361
kernel = rbf , gamma = 1.0, score :  0.584669246361
kernel = rbf , gamma = 5.0, score :  0.570726613844
kernel = rbf , gamma = 5.0, score :  0.570726613844
kernel = rbf , gamma = 5.0, score :  0.570726613844
kernel = rbf , gamma = 5.0, score :  0.570726613844
kernel = rbf , gamma = 5.0, score :  0.570726613844
kernel = rbf , gamma = 5.0, score :  0.570726613844
kernel = rbf , gamma = 5.0, score :  0.570726613844
kernel = rbf , gamma = 10.0, score :  0.732940237086
kernel = rbf , gamma = 10.0, score :  0.732940237086
kernel = rbf , gamma = 10.0, score :  0.732940237086
kernel = rbf , gamma = 10.0, score :  0.732940237086
kernel = rbf , gamma = 10.0, score :  0.732940237086
kernel = rbf , gamma = 10.0, score :  0.732940237086
kernel = rbf , gamma = 10.0, score :  0.732940237086
kernel = rbf , gamma = 100.0, score :  0.763773723973
kernel = rbf , gamma = 100.0, score :  0.763773723973
kernel = rbf , gamma = 100.0, score :  0.763773723973
kernel = rbf , gamma = 100.0, score :  0.763773723973
kernel = rbf , gamma = 100.0, score :  0.763773723973
kernel = rbf , gamma = 100.0, score :  0.763773723973
kernel = rbf , gamma = 100.0, score :  0.763773723973
